PRIMARY_KEY,REP_DATE,REP_TIME,SEX,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,SEARCH_BASED_ON_DESC,SEARCH_DISC_DESC,RACE_KNOWN,X_COORDINATE,Y_COORDINATE,SECTOR,LOCAL_FIELD1
201520111,01/02/2015,127,F,WHITE,6300 S IH 35 SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3106636,10043730,FRANK,2
201520134,01/02/2015,212,M,BLACK,10313 LAKE CREEK PKWY,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INVENTORY OF TOWED VEHICLE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3096175,10140350,ADAM PD,6
201520154,01/02/2015,222,M,BLACK,MANOR RD / ROGGE LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3133403,10084477,IDA,1
201520208,01/02/2015,400,M,BLACK,MANOR RD / E 51ST ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3131645,10082117,BAKER,1
201521297,01/02/2015,1947,M,BLACK,10300 BURNET RD,YES = 1,VIOLATION OF CITY ORDIANCE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3119475,10114196,ADAM PD,7
201521443,01/02/2015,2045,F,WHITE,S IH 35 SVRD SB / WOODWARD ST,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3113147,10054510,HENR,3
201521480,01/02/2015,2223,F,BLACK,13600 N US 183 HWY SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3097271,10137435,ADAM PD,6
201521533,01/02/2015,2228,M,HISPANIC OR LATINO,9400 MIDDLE FISKVILLE RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3131341,10103786,EDWARD,4
201521560,01/03/2015,215,M,HISPANIC OR LATINO,2500 E RIVERSIDE DR,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3120704,10059020,HENR,3
201521597,01/03/2015,11,M,WHITE,13400 N US 183 HWY SVRD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3098246,10135314,ADAM PD,6
201521601,01/02/2015,2311,M,HISPANIC OR LATINO,AIRPORT BLVD / MANOR RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3125657,10077650,BAKER,1
201521624,01/02/2015,2244,F,WHITE,2400 GUADALUPE ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3114481,10077929,BAKER,9
201530102,01/03/2015,459,M,HISPANIC OR LATINO,306 W RUNDBERG LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3128722,10105408,EDWARD,4
201530105,01/03/2015,150,F,WHITE,10205 N LAMAR BLVD,YES = 1,SUSPICIOUS PERSON / VEHICLE,INCIDENTAL TO ARREST,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,3129643,10108927,EDWARD,4
201530134,01/03/2015,223,M,WHITE,E 7TH ST / SAN JACINTO BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3115184,10070857,GEORGE,9
201530182,01/03/2015,157,F,WHITE,1600 W 6TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3107953,10073117,BAKER,9
201530185,01/03/2015,200,M,HISPANIC OR LATINO,9200 N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3127570,10105025,EDWARD,4
201530185,01/03/2015,200,M,HISPANIC OR LATINO,9200 N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3127570,10105025,EDWARD,4
201530195,01/03/2015,206,M,WHITE,2463 RUTLAND DR,NO = 2,,,,,3119712,10112641,ADAM PD,7
201530195,01/03/2015,206,M,WHITE,2463 RUTLAND DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3119712,10112641,ADAM PD,7
201530342,01/03/2015,605,F,BLACK,1400 RUTLAND DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3124854,10108083,EDWARD,4
201530342,01/03/2015,605,M,BLACK,1400 RUTLAND DR,YES = 1,CALL FOR SERVICE,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3124854,10108083,EDWARD,4
201530356,01/03/2015,502,M,HISPANIC OR LATINO,200 E OLTORF ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,FRISK FOR SAFETY,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3111454,10059910,HENR,9
201530363,01/03/2015,512,M,HISPANIC OR LATINO,4800 BLOCK PUTTERS CV,YES = 1,CALL FOR SERVICE,FRISK FOR SAFETY,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3115139,10044135,FRANK,2
201530486,01/03/2015,715,M,HISPANIC OR LATINO,3000 ED BLUESTEIN BLVD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3136983,10070629,CHARLIE,1
201530657,01/03/2015,1118,M,WHITE,1700 E OLTORF ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3115980,10058043,HENR,9
201530710,01/03/2015,1145,F,HISPANIC OR LATINO,800 E 11TH ST,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3117592,10071666,CHARLIE,1
201530727,01/03/2015,1205,M,HISPANIC OR LATINO,1600 S IH 35 NB,NO = 2,CALL FOR SERVICE,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3116512,10061143,HENR,9
201531375,01/03/2015,2104,M,BLACK,1400 ASTOR PL,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,CASH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3131370,10076107,CHARLIE,1
201531477,01/03/2015,2047,F,BLACK,2400 BLOCK W PARMER LN,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3126051,10125849,ADAM PD,7
201531511,01/03/2015,2258,M,BLACK,1100 NAVASOTA ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3119293,10071013,GEORGE,1
201531608,01/03/2015,2136,M,BLACK,BOLM RD / PERRY RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3132142,10066972,CHARLIE,3
201531659,01/03/2015,2302,F,BLACK,11200 RESEARCH BLVD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3112419,10121631,ADAM PD,6
201531711,01/03/2015,2305,M,HISPANIC OR LATINO,10205 N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3129643,10108927,EDWARD,4
201531725,01/03/2015,2225,M,HISPANIC OR LATINO,TERI RD / S PLEASANT VALLEY RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3114482,10044899,FRANK,2
201531755,01/03/2015,2240,M,HISPANIC OR LATINO,2700 E MARTIN LUTHER KING JR BLVD,NO = 2,,,,,3123514,10075739,CHARLIE,1
201531760,01/03/2015,2338,F,WHITE,W BRAKER LN / N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3131136,10112574,EDWARD,4
201531766,01/03/2015,2248,F,HISPANIC OR LATINO,4600 E BEN WHITE BLVD SVRD WB,NO = 2,,,,,3118484,10051585,HENR,3
201531787,01/03/2015,2339,M,HISPANIC OR LATINO,6200 BLOCK N IH 35 SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,CASH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3125215,10091382,IDA,4
201531798,01/04/2015,155,M,BLACK,801 E ST JOHNS AVE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,INCIDENTAL TO ARREST,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3126193,10094426,IDA,4
201531800,01/03/2015,2304,F,BLACK,MANOR RD / E 51ST ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3131645,10082117,BAKER,1
201531829,01/04/2015,5,M,HISPANIC OR LATINO,1009 W DITTMAR RD,NO = 2,,,,,3096392,10039911,FRANK,2
201531856,01/04/2015,205,M,BLACK,MANOR RD / BERKMAN DR,YES = 1,,INCIDENTAL TO ARREST,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3128100,10078724,BAKER,1
201531860,01/03/2015,2337,M,HISPANIC OR LATINO,5905 NUCKOLS CROSSING RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,PROBABLE CAUSE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,3115084,10041246,FRANK,2
