REP_DATE,REP_TIME,SEX,APD_RACE_DESC,LOCATION,PERSON_SEARCHED_DESC,REASON_FOR_STOP_DESC,SEARCH_DISC_DESC,RACE_KNOWN,X_COORDINATE,Y_COORDINATE
9/7/2015,33,M,WHITE,800 TRINITY ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,115,615","10,071,139"
9/6/2015,"2,256",F,BLACK,10500 BLOCK BOYER BLVD,YES = 1,SUSPICIOUS PERSON / VEHICLE,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,122,940","10,112,936"
9/6/2015,"2,317",M,HISPANIC OR LATINO,9600 BLOCK N IH 35 SVRD NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,131,538","10,105,148"
9/6/2015,"2,322",M,WHITE,W BRAKER LN / BURNET RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,119,888","10,115,666"
9/6/2015,"2,322",M,BLACK,12800 BLOCK TOMANET TRL,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,127,062","10,127,387"
9/7/2015,240,M,HISPANIC OR LATINO,801 E WILLIAM CANNON DR,YES = 1,CALL FOR SERVICE,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,105,655","10,042,376"
9/7/2015,407,M,WHITE,S 1ST ST / W GIBSON ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,110,830","10,064,647"
9/7/2015,216,M,WHITE,9300 BLOCK N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,127,552","10,105,353"
9/7/2015,222,M,HISPANIC OR LATINO,1900 BLOCK WILLOW CREEK DR,YES = 1,SUSPICIOUS PERSON / VEHICLE,CASH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,119,113","10,058,662"
9/7/2015,233,M,WHITE,LAVACA ST / W 7TH ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,113,655","10,071,316"
9/7/2015,638,M,HISPANIC OR LATINO,2200 S IH 35 SVRD SB,YES = 1,CALL FOR SERVICE,WEAPONS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,115,233","10,059,006"
9/7/2015,956,M,BLACK,1900 BLOCK VALLEY HILL CIR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,117,687","10,058,849"
9/7/2015,"1,205",M,WHITE,W 38TH ST / N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,113,921","10,084,252"
9/7/2015,"1,433",F,HISPANIC OR LATINO,5900 BLOCK E OLTORF ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,123,715","10,052,446"
9/7/2015,"1,433",M,HISPANIC OR LATINO,5900 BLOCK E OLTORF ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,123,715","10,052,446"
9/7/2015,"1,624",M,WHITE,1672 ZONE LAKE AUSTIN,NO = 2,WATER SAFETY ACT,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,057,172","10,090,642"
9/7/2015,"1,638",F,WHITE,1974 ZONE LAKE AUSTIN,NO = 2,,,,"3,059,406","10,102,285"
9/7/2015,"1,645",M,HISPANIC OR LATINO,500 ZONE LAKE AUSTIN,NO = 2,WATER SAFETY ACT,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,096,120","10,100,435"
9/7/2015,"1,836",M,HISPANIC OR LATINO,9100 N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,127,522","10,104,753"
9/7/2015,"2,027",F,HISPANIC OR LATINO,4800 AIRPORT BLVD,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,122,501","10,085,374"
9/7/2015,"2,137",M,HISPANIC OR LATINO,400 THELMA DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,101,327","10,043,069"
9/8/2015,2,M,UNKNOWN,3700 N MOPAC EXPY NB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,109,497","10,086,367"
9/7/2015,"2,328",M,HISPANIC OR LATINO,5200 E RIVERSIDE DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,123,671","10,057,281"
9/7/2015,"2,343",M,HISPANIC OR LATINO,8800 JAMESTOWN DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,125,575","10,104,209"
9/7/2015,"2,352",M,ASIAN,N LAMAR BLVD / W GUADALUPE ST,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,117,307","10,088,696"
9/8/2015,34,M,HISPANIC OR LATINO,800 BLOCK W SLAUGHTER LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,095,321","10,036,147"
9/8/2015,555,M,BLACK,1500 FARO DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,CASH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,123,698","10,058,703"
9/8/2015,"1,143",M,HISPANIC OR LATINO,2400 BLOCK E RIVERSIDE DR,YES = 1,,DRUGS,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,120,292","10,059,293"
9/8/2015,"1,153",M,WHITE,W SLAUGHTER LN / S IH 35 SVRD SB,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,101,228","10,033,710"
9/8/2015,"1,613",M,BLACK,1900 S US 183 HWY NB,YES = 1,PRE-EXISTING KNOWLEDGE,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,133,547","10,053,378"
9/8/2015,"1,558",M,BLACK,5401 NUCKOLS CROSSING RD,YES = 1,PRE-EXISTING KNOWLEDGE,OTHER,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,115,940","10,043,050"
9/8/2015,"1,652",M,BLACK,5100 REGENCY DR,NO = 2,,,,"3,139,805","10,077,859"
9/8/2015,"1,716",M,HISPANIC OR LATINO,1600 E 2ND ST,NO = 2,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,119,054","10,067,719"
9/8/2015,"1,820",F,HISPANIC OR LATINO,11921 METRIC BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,125,859","10,119,353"
9/8/2015,"2,002",M,HISPANIC OR LATINO,1900 BLOCK TILLOTSON AVE,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,CASH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,121,674","10,070,420"
9/8/2015,"2,307",M,HISPANIC OR LATINO,4500 BLOCK S PLEASANT VALLEY RD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,OTHER,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,115,027","10,047,415"
9/8/2015,"2,157",F,HISPANIC OR LATINO,S CONGRESS AVE / W OLTORF ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,111,178","10,060,019"
9/8/2015,"2,205",M,HISPANIC OR LATINO,701 E STASSNEY LN,YES = 1,PRE-EXISTING KNOWLEDGE,NOTHING,YES - RACE OR ETHNICITY WAS KNOWN BEFORE STOP,"3,106,653","10,045,950"
9/8/2015,"2,241",F,HISPANIC OR LATINO,8600 GEORGIAN DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,127,124","10,101,675"
9/8/2015,"2,143",F,HISPANIC OR LATINO,9414 N LAMAR BLVD,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,127,650","10,106,327"
9/9/2015,227,M,HISPANIC OR LATINO,ED BLUESTEIN BLVD NB / E 51ST ST,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,139,089","10,080,157"
9/8/2015,"2,254",F,HISPANIC OR LATINO,3800 OAK SPRINGS DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,130,559","10,073,174"
9/8/2015,"2,342",M,HISPANIC OR LATINO,WOODHUE DR / W WILLIAM CANNON DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,097,211","10,045,740"
9/9/2015,10,M,HISPANIC OR LATINO,10200 N LAMAR BLVD,YES = 1,PRE-EXISTING KNOWLEDGE,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,129,215","10,108,662"
9/9/2015,312,M,BLACK,3800 W PARMER LN,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,DRUGS,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,122,592","10,127,858"
9/9/2015,115,M,WHITE,7900 GEORGIAN DR,YES = 1,VIOLATION OF TRANSPORTATION CODE/VEHICLE LAWS,NOTHING,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,"3,125,589","10,098,731"
9/9/2015,206,M,HISPANIC OR LATINO,6400 BLOCK S CONGRESS AVE,NO = 2,,,,"3,103,883","10,044,621"
