REP_DATE,REP_TIME,APD_sector,RACE_KNOWN,Reason for Stop – TCOLE form,SEX,APD_RACE_DESC,Person Search YN,Search Found,X_COORDINATE,Y_COORDINATE
1/19/2019,2344,ED,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES = 1,NOTHING,3133270,10097994
2/14/2019,652,HE,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,HISPANIC OR LATINO,NO = 2,,3145454,10039681
1/6/2019,1935,ED,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,BLACK,YES = 1,WEAPONS,3134582,10120796
1/28/2019,1818,CH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,NO = 2,,3125308,10078120
3/6/2019,2139,BA,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,WHITE,YES = 1,NOTHING,3120168,10078336
3/27/2019,1512,ID,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,WHITE,YES = 1,OTHER,3126768,10089432
1/2/2019,356,GE,,Moving Traffic Violation,F,WHITE,,,3113076,10070768
2/14/2019,1531,CH,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,BLACK,YES = 1,NOTHING,3135853,10082626
1/16/2019,1703,ID,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,WHITE,YES = 1,NOTHING,3132148,10094171
3/4/2019,2237,AD,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES = 1,NOTHING,3132756,10127991
3/27/2019,52,BA,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,BLACK,YES = 1,CASH,3123763,10085648
2/1/2019,2154,FR,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES = 1,NOTHING,3108834,10038840
2/22/2019,2233,ED,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Violation of law other than traffic,M,WHITE,YES = 1,NOTHING,3128673,10107213
2/21/2019,1928,HE,,Moving Traffic Violation,M,HISPANIC OR LATINO,,,3128985,10043425
3/26/2019,505,ED,NO - RACE OR ETHNICITY WAS NOT KNOWN BEFORE STOP,Moving Traffic Violation,M,HISPANIC OR LATINO,YES = 1,OTHER,3129816,10109703
